# RA, DEC, # name period mag comment
# HAT
340.4446, 36.8244,  #  HTR205-020 P=6.5 V=10.6 double lined
339.0337, 37.8406,  #  HTR205-021 P=113 V=10.3 single lined

# WASP Am
251.633,	41.7708,  # V916 Her P=19.67 V=7.96
343.073,	38.7477,  # V364 Lac P=7.35 V=8.36
54.4384,	40.7637,  # AB Per P=7.16 V=9.72

# K2 long period
247.342692,	-15.641768, # EPIC 205703649 P=8.12 Kp=12.49

# DEBcat long period (without objects from the Kepler field)
168.17642205,  76.44899694,   # LSPM_J1112+7626  P=41.033  V=14.85
102.8269866,   47.67338238,   #          HS_Aur  P=9.815   V=10.16
341.23793003,  49.657642,     #          RW_Lac  P=10.369  V=10.63
290.20458333,  37.76925,      #        V565_Lyr  P=18.799  V=17.71
290.23889506,  37.76020646,   #        V568_Lyr  P=14.47   V=17.34
283.72283702,  51.30827479,   #          HP_Dra  P=10.762  V=7.94
130.69254992,  31.86260126,   #          KX_Cnc  P=31.22   V=7.19
263.88502449,  23.17514004,   #          LV_Her  P=18.436  V=11.06
263.93105158,  30.64306523,   #        V501_Her  P=8.598   V=10.93
294.6715965,   54.97378946,   #       V1143_Cyg  P=7.641   V=5.86
282.74731082,  69.88263621,   #          BF_Dra  P=11.211  V=9.76
 55.01694687,  81.01917884,   #          EY_Cep  P=7.971   V=9.8
322.11752277,  76.40349548,   #          EI_Cep  P=8.439   V=7.61
 96.60765047,  56.28509906,   #          RR_Lyn  P=9.945   V=5.54
 17.87463908,  61.14668226,   #        V459_Cas  P=8.458   V=10.37
343.06170858,  38.74573115,   #        V364_Lac  P=7.352   V=8.36
295.62272792,  31.32782194,   #        V541_Cyg  P=15.338  V=10.44
  3.96483435,  60.43156713,   #          MU_Cas  P=9.653   V=10.8
283.35933338,  24.27799788,   #          DI_Her  P=10.55   V=8.42
297.65552797,  40.59975825,   #        V380_Cyg  P=12.426  V=5.68
